Title,Location,Rent,Deposit,Area,Type,Parking,Furnishing,Available From
"Industrial Building in  Nigdi, Pune for Rent","Triveni Nagar, rupeenagar , Government School And Rupinagar Nigdi","35,000No Extra Maintenance",1 Lac,"3,070 sqft 11.40 per Sq.Ft.",Industrial Building,NoneParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Pimpri-chinchwad, Pune for Rent","MIDC,  Plasma Industries MIDC",4 LacsNo Extra Maintenance,24 Lacs,"9,500 sqft 42.11 per Sq.Ft.",Industrial Building,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Industrial Building in Sharayu Toyota - Toyota Car Dealers, Pune for Rent","near quality circle, ","30,000No Extra Maintenance",1 Lac,"1,000 sqft 30.00 per Sq.Ft.",Industrial Building,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Pimple Nilkah, Pune for Rent","dp road, vishal nagar ,Vasundhara Plaza, Shivsagar hotel, sathe petrol pump,  24k glitterite ","30,000 +1,000Maintenance",1 Lac,750 sqft 40.00 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in Chinchwad, Pune for Rent","Anand Nagar, Carnival Cinemas Chinchwad","40,000No Extra Maintenance",2 Lacs,550 sqft 72.73 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in Pimpri-chinchwad, Pune for Rent","Old Mumbai - Pune Hwy,Kasarwadi, Near Nashik Phata Metro Station","16,000No Extra Maintenance","50,000",300 sqft 53.33 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in F-residences By Bramhacorp At New Kalyani Nagar, Pune for Rent","New Kalyani Nagar, ","28,000No Extra Maintenance","90,000",420 sqft 66.67 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,12-May-2023Available From
"Office Space in Pimpri  Chinchwad, Pune for Rent","Pimple Saudagar, Govind Garden","48,000No Extra Maintenance",2.4 Lacs,"1,700 sqft 28.24 per Sq.Ft.",Office Space,PublicParking,UnfurnishedFurnishing,30-May-2023Available From
"Office Space in Om Chambers, Pune for Rent","bhosari, telco road","5 Lacs +50,000Maintenance",30 Lacs,"8,300 sqft 60.24 per Sq.Ft.",Office Space,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Pimpri Colony, Pune for Rent","Pimpri,kothari chouk, Kamala Cross Road, Opp.pcmc building ","27,000No Extra Maintenance",1 Lac,410 sqft 65.85 per Sq.Ft.,Office Space,ReservedParking,Fully furnishedFurnishing,31-May-2023Available From
"Office Space in Lms Realites Viman Nagar, Pune for Rent","Sakorenagar, Bajaj Finserv","82,000No Extra Maintenance",2 Lacs,"1,050 sqft 78.10 per Sq.Ft.",Office Space,ReservedParking,UnfurnishedFurnishing,12-May-2023Available From
"Office Space in Suratwala Mark Plazzo, Pune for Rent","Hinjawadi Road, Indian oil petrol pump","65,000 +5,000Maintenance",5 Lacs,"1,100 sqft 59.09 per Sq.Ft.",Office Space,ReservedParking,UnfurnishedFurnishing,18-May-2023Available From
"Office Space in Viman Nagar, Pune for Rent","Datta Mandir Chowk, Apollo Clinic","65,000 +6,000Maintenance",3 Lacs,"1,026 sqft 63.35 per Sq.Ft.",Office Space,ReservedParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Office Space in Hinjawadi, Pune for Rent","Near ganesh temple, KPIT Cummins Infotech ","55,000 +5,000Maintenance",1.5 Lacs,"2,500 sqft 22.00 per Sq.Ft.",Office Space,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Office Space in Pimple Saudagar, Pune for Rent","Pimple Saudagar , BRTS Route, Shubham Heights","15,000 +1,100Maintenance","50,000",201 sqft 74.63 per Sq.Ft.,Office Space,PublicParking,UnfurnishedFurnishing,17-May-2023Available From
"Office Space in Bhumkar Chowk, Pune for Rent","bhumkar chowk, ginger hotel","20,000No Extra Maintenance","50,000",250 sqft 80.00 per Sq.Ft.,Office Space,Public And ReservedParking,Fully furnishedFurnishing,11-Jul-2023Available From
"Office Space in  Pimpri-chinchwad, Pune for Rent","Ganesh Nagar, Near Mahalaxmi Mandir, Famous Chowk near , Datta Mandir Road","70,000No Extra Maintenance",1.5 Lacs,"1,735 sqft 40.35 per Sq.Ft.",Office Space,PublicParking,UnfurnishedFurnishing,04-Jul-2023Available From
