Title,Location,Rent,Deposit,Area,Type,Parking,Furnishing,Available From
"Restaurant/Cafe in Pimple Saudagar, Pune for Rent","Kunal Icon Rd, Sujata Mastani","26,000No Extra Maintenance","75,000",233 sqft 111.59 per Sq.Ft.,Restaurant/Cafe,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Restaurant/Cafe in Hinjawadi, Pune for Rent","Phase 2, Grand Tamanna Hotel",7 LacsNo Extra Maintenance,50 Lacs,"7,000 sqft 100.00 per Sq.Ft.",Restaurant/Cafe,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Shop in Ravet, Pune for Rent","Namrata Gloria, Avani Beauty Salon","12,000No Extra Maintenance","30,000",200 sqft 60.00 per Sq.Ft.,Shop,NoneParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Wadgaonsheri, Pune for Rent","Murlidhar Housing Society near, Anjali ENGLISH SCHOOL","7,000No Extra Maintenance","10,000",300 sqft 23.33 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in New Sanghavi, Pune for Rent","adarsh nagar , Bharat Petroleum Petrol Pump , SHITOLE PETROLEUMS","17,000No Extra Maintenance","29,997",250 sqft 68.00 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimple Nilakh, , Pune for Rent","Brahmavrind Housing Society, Ingawale Nagar,, Kaka Halwai Sweets & Namkeen","30,000No Extra Maintenance",1.5 Lacs,408 sqft 73.53 per Sq.Ft.,Shop,PublicParking,Semi furnishedFurnishing,31-Jul-2023Available From
"Shop in Chikhali, Pune for Rent","North East Business Corner(NEBC), Near Savtha Mali Temple","70,000 +1,500Maintenance",3 Lacs,600 sqft 116.67 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,19-May-2023Available From
"Shop in Chinchwad, Pune for Rent"," Old Mumbai - Pune Hwy,,  Ranka Jewellers ","30,000No Extra Maintenance",1.5 Lacs,520 sqft 57.69 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Wakad, Pune for Rent","On the BRTS Road, Kalewadi Phata, Chinchwad","48,000 +2,500Maintenance",3 Lacs,510 sqft 94.12 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,14-May-2023Available From
"Shop in Dighi, Pune for Rent","Dharmaveer Sambhaji Raje Chowk, Krushnanagr, Near Mamta Sweets","45,000No Extra Maintenance","90,000",760 sqft 59.21 per Sq.Ft.,Shop,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimpri-chinchwad, Pune for Rent","Thergaon , Aditya Birla Hospital","30,000No Extra Maintenance","40,000",150 sqft 200.00 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimpri-chinchwad, Pune for Rent","Thergaon ,  near  Aditya Birla Hospital",1 LacNo Extra Maintenance,1.5 Lacs,"3,000 sqft 33.33 per Sq.Ft.",Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimpri-chinchwad, Pune for Rent","Thergaon ,  near  Aditya Birla Hospital","10,000No Extra Maintenance","20,000",150 sqft 66.67 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Prasun Puram Apartment, Pune for Rent","Prasun Puram Apartment, Near Lamde Hospital","23,000No Extra Maintenance",1 Lac,190 sqft 121.05 per Sq.Ft.,Shop,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Ravet Village Road, Nigdi, Pune for Rent","B-11, REGENT ARCADE, SAMBHAJI CHAUK, PRADHIKARN RD, SECTOR -26, NIGADI, PUNE-411035, sambhaji chauk","15,000 +500Maintenance","50,000",200 sqft 75.00 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Bijali Nagar, Pune for Rent","Akurdi Chikhali Road, Near Mamta sweet mart","13,000No Extra Maintenance","40,000",160 sqft 81.25 per Sq.Ft.,Shop,NoneParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Nigdi, Pune for Rent","regent avenue Sambhaji Maharaj chowk,  sector 26  subway akurdi ","17,000 +500Maintenance","50,000",300 sqft 56.67 per Sq.Ft.,Shop,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimpri-chinchwad, Pune for Rent","Rasikwadi, Punawale, Rose Mansion Cooperative Housing Society","15,000No Extra Maintenance",1 Lac,150 sqft 100.00 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Nigdi , Pune for Rent"," Pimpri-Chinchwad , Surabhi Travels","15,000No Extra Maintenance","30,000",200 sqft 75.00 per Sq.Ft.,Shop,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Shop in Moshi, Pune for Rent","Gaikwad Vasti,, Moshi Toll Plaza","32,000No Extra Maintenance",1 Lac,650 sqft 49.23 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Akurdi Railway Station, Pune for Rent","ABC JUNCTION BLDG, ABC JUNCTION BLDG","25,000No Extra Maintenance",1 Lac,260 sqft 96.15 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimpri Colony, Pune for Rent"," Shastri Nagar, near Shree  Ganesh Mandir","10,000No Extra Maintenance","25,000",235 sqft 42.55 per Sq.Ft.,Shop,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Kasarwadi, Pune for Rent","Nashik Phata, behind Maratha Khanawal Pure Veg Restaurant","50,000No Extra Maintenance",2 Lacs,"1,000 sqft 50.00 per Sq.Ft.",Shop,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimpri-chinchwad, Pune for Rent","Nehru Nagar, Near santoshi mata mandir and  Ayush Multispeciality Hospital","12,000No Extra Maintenance","20,000",228 sqft 52.63 per Sq.Ft.,Shop,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Shop in Kalewadi, Pune for Rent","pimpri chinchwad, Kalewadi Ayappa Temple","10,000No Extra Maintenance","30,000",250 sqft 40.00 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Pimple Saudagar, Pune for Rent","Jagtap Dairy Road,  Shivar Garden Restaurant and Podar Jumbo Kids","15,000No Extra Maintenance","45,000",242 sqft 61.98 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Shop in Wadgaonsheri, Pune for Rent","Digambar Nagar, , near Bramha Sun City","25,000No Extra Maintenance","75,000",378 sqft 66.14 per Sq.Ft.,Shop,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Pimpri-chinchwad, Pune for Rent","Kalewadi - Rahatani Rd, near Apex Hospital, Kalewadi Phata, Kaveri Nagar, Thergaon, Pimpri-Chinchwad, Maharashtra 411033,  Health Guru","75,000No Extra Maintenance",2 Lacs,"1,080 sqft 69.44 per Sq.Ft.",Showroom,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in  Kalewadi, Pune for Rent","Adarsh Nagar , Pimpri-Chinchwad,, Near Sky Venue Banquet Lodging Restaurant And Lounge","55,000No Extra Maintenance",1 Lac,"1,400 sqft 39.29 per Sq.Ft.",Showroom,Public And ReservedParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Showroom in New Sanghavi, Pune for Rent","Krishna Nagar Road Number 2, Krishna Nagar Road Number 2",1.5 LacsNo Extra Maintenance,15 Lacs,750 sqft 200.00 per Sq.Ft.,Showroom,ReservedParking,Fully furnishedFurnishing,31-May-2023Available From
"Showroom in Thergaon, Pune for Rent","Tapkir chowk to thergaon main road, new pcmc thergaon hospital ","35,000No Extra Maintenance",3 Lacs,"1,000 sqft 35.00 per Sq.Ft.",Showroom,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Dattwadi, Pune for Rent","Ashok Nagar, Tathawade, Skyscraper",1 LacNo Extra Maintenance,4 Lacs,"1,500 sqft 66.67 per Sq.Ft.",Showroom,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Retail  Property in  Ravet, Pune for Rent","Aundh - Ravet BRTS Rd, Reliance Smart Superstore - Ravet","40,000 +5,000Maintenance",1 Lac,"1,220 sqft 32.79 per Sq.Ft.",Retail,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Wakad, Pune for Rent","Shop No 2, R.K. Lunkad's Nisarg Deep 1, Kaspate Wasti, Wakad, Pune, Maharashtra 411057, Wakad Main Road","40,000No Extra Maintenance",1 Lac,220 sqft 181.82 per Sq.Ft.,Showroom,PublicParking,Semi furnishedFurnishing,02-Jun-2023Available From
"Showroom in Chinchwad, Pune for Rent","Empire Square, , Near Auto Cluster Development and  Research Institute","5 Lacs +10,000Maintenance",30 Lacs,"5,018 sqft 99.64 per Sq.Ft.",Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Pimpri-chinchwad,, Pune for Rent","Nigdi Gaothan,  Inspiria Mall","35,000 +750Maintenance",1.5 Lacs,525 sqft 66.67 per Sq.Ft.,Showroom,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Pimpri-chinchwad, Pune for Rent","Nigdi Service rd , Shri Gokulnath Krishna Vigraha Mandir","35,000 +750Maintenance",1.5 Lacs,750 sqft 46.67 per Sq.Ft.,Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Sector No. 9, Moshi, Pune for Rent","Santnagar,, Near Nivrutti heights ",2 LacsNo Extra Maintenance,10 Lacs,"2,200 sqft 90.91 per Sq.Ft.",Showroom,Public And ReservedParking,UnfurnishedFurnishing,29-Aug-2023Available From
"Showroom in Pimpri-chinchwad, Pune for Rent","Gavhane Industrial Estate, Sadashiv Palace",1.8 LacsNo Extra Maintenance,10.8 Lacs,"1,500 sqft 120.00 per Sq.Ft.",Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Wakad, Pune for Rent","Datta mandir main road, near wakad chowk, Near Wakad Chowk",7.5 LacsNo Extra Maintenance,50 Lacs,"6,000 sqft 125.00 per Sq.Ft.",Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Pimpri-chinchwad, Pune for Rent","Anna Sahib Nagar, Pimpri Police Station","40,000 +1,245Maintenance",2.5 Lacs,415 sqft 96.39 per Sq.Ft.,Showroom,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Showroom in Bhakti Shakti, Pune for Rent","Bhakti Shakti Chowk, Bhakti Shakti Statue",1.9 LacsNo Extra Maintenance,12 Lacs,"4,000 sqft 47.50 per Sq.Ft.",Showroom,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Wakad, Pune for Rent","Kalewadi Chowk, , Hotel Ambience Excellency",1.62 LacsNo Extra Maintenance,9.72 Lacs,"1,610 sqft 100.62 per Sq.Ft.",Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Wadgaon Sheri, Pune for Rent","Shiv Shakti Society, Ganesh nagar rd, near Anand Mangal Society","80,000No Extra Maintenance",2.4 Lacs,"1,650 sqft 48.48 per Sq.Ft.",Showroom,PublicParking,Fully furnishedFurnishing,ImmediatelyAvailable From
"Showroom in Punawale, Pune for Rent","Panchatattva Heights, Near HDFC Bank, Punavale ","80,000 +2,100Maintenance",5 Lacs,530 sqft 150.94 per Sq.Ft.,Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Pimpri-chinchwad, Pune for Rent"," Moshi, , Near Spine City Mall","27,000No Extra Maintenance",1.62 Lacs,500 sqft 54.00 per Sq.Ft.,Showroom,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Showroom in Moshi, Pune for Rent","ASHOKQ, ","80,000No Extra Maintenance",2 Lacs,"1,000 sqft 80.00 per Sq.Ft.",Showroom,NoneParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Maan, Pune for Rent","Maan Road, Joshi Wadewale ",1 LacNo Extra Maintenance,4 Lacs,"2,100 sqft 47.62 per Sq.Ft.",Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Moshi, Pune for Rent","Sant Nagar  Pune -Nashik Hwy, , Motilal Talera English Medium School","1.8 Lacs +5,000Maintenance",6 Lacs,"3,000 sqft 60.00 per Sq.Ft.",Showroom,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Pimple Gurav, Pune for Rent","New Sanghvi Rd , Asmita Chowk","80,000No Extra Maintenance",2.5 Lacs,"1,500 sqft 53.33 per Sq.Ft.",Showroom,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Showroom in Pimpri Colony, Pune for Rent","Sadhu Vaswani Road, Sadhu Vaswani Road",2.7 LacsNo Extra Maintenance,7.5 Lacs,"1,800 sqft 150.00 per Sq.Ft.",Showroom,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Showroom in Kharadi, Pune for Rent","Raghavendra Nagar, opp Kumar Periwinkle","75,000No Extra Maintenance",2 Lacs,"1,500 sqft 50.00 per Sq.Ft.",Showroom,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Moshi, Pune for Rent","Next to Mantra Moments, Near D mart, Dehu alandi road","20,000No Extra Maintenance",1 Lac,"3,000 sqft 6.67 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Pimpri-chinchwad,, Pune for Rent","1/2, Hinjawadi Phase 2 Rd, Hinjawadi Phase II, Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune, Maharashtra 411057, Motherson Sumi Systems Ltd","35,000No Extra Maintenance",1.5 Lacs,"3,200 sqft 10.94 per Sq.Ft.",Godown/Warehouse,ReservedParking,Semi furnishedFurnishing,19-May-2023Available From
"Godown/Warehouse in Pimpri-chinchwad, Pune for Rent","Talawade Gaon, Talwade, Pune Software Park Private Limited","60,000No Extra Maintenance",3.6 Lacs,"4,000 sqft 15.00 per Sq.Ft.",Godown/Warehouse,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Hinjawadi, Pune for Rent"," Phase 2, Hinjewadi Rajiv Gandhi Infotech Park,, Grand Tamanna Hotel",2.5 LacsNo Extra Maintenance,10 Lacs,"10,000 sqft 25.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,30-Jun-2023Available From
"Godown/Warehouse in Chikhali, Pune for Rent","More Vasti, , Hanuman Gym","20,000No Extra Maintenance","80,000","1,000 sqft 20.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,31-Jul-2023Available From
"Godown/Warehouse in Motherson Sumi System Ltd., Pune for Rent","Hinjawadi-Nerhe Road, Near Motherson Company","35,000No Extra Maintenance",1.5 Lacs,"3,200 sqft 10.94 per Sq.Ft.",Godown/Warehouse,ReservedParking,Semi furnishedFurnishing,23-May-2023Available From
"Godown/Warehouse in Moshi, Pune for Rent","Gaikwad Vasti, Chimbali Phata ",2.3 LacsNo Extra Maintenance,13.8 Lacs,"10,000 sqft 23.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Moshi, Pune for Rent","Gaikwad Vasti, Chimbali Phata ",4.3 LacsNo Extra Maintenance,25.8 Lacs,"20,000 sqft 21.50 per Sq.Ft.",Godown/Warehouse,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Nigdi, Pune for Rent","Walhekarwadi, Aher Garden Lawns","25,000No Extra Maintenance","80,000","1,000 sqft 25.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in ???????, Pune for Rent","gawarewadi, near symphony society ","55,000 +2,000Maintenance",2 Lacs,"5,000 sqft 11.00 per Sq.Ft.",Godown/Warehouse,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Nigdi, Pune for Rent","Walhekar Wadi Rd, Walhekarwadi Prathamik School, ","35,000No Extra Maintenance","90,000","2,000 sqft 17.50 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Nigdi, Pune for Rent","Walhekar Wadi Rd, Walhekarwadi Prathamik School, ","30,000No Extra Maintenance",1.8 Lacs,"2,000 sqft 15.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Ravet, Pune for Rent","Durga nivas Survey No. 110, Gat No.1, S B Patil Public School","20,000No Extra Maintenance","50,000","1,400 sqft 14.29 per Sq.Ft.",Godown/Warehouse,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Bhosari, Pune for Rent","kusum nivas,, near vitthal rukhmini temple","30,000 +1,000Maintenance",3 Lacs,"1,700 sqft 17.65 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Pimpri-chinchwad, Pune for Rent","Krushna Nagar, Infant Jesus Church","40,000No Extra Maintenance",2 Lacs,"6,000 sqft 6.67 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Hinjewadi, Pune for Rent","Wakad Rd, Raj Wines","60,000No Extra Maintenance",1.8 Lacs,"2,000 sqft 30.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in  Pimpri-chinchwad, Pune for Rent"," Old Sangvi road , near Shree Sant Gajanan Maharaj Mandir","20,000No Extra Maintenance","40,000",500 sqft 40.00 per Sq.Ft.,Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Chikhali, Pune for Rent","Shelarvasti,, Bharat Weight Bridge Pvt. LTD","45,000No Extra Maintenance",3 Lacs,"6,000 sqft 7.50 per Sq.Ft.",Godown/Warehouse,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Wakad, Pune for Rent","service rd near , Rohan Tarang Co-Operative Housing Society","80,000No Extra Maintenance",2 Lacs,"2,500 sqft 32.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Thergaon, Pune for Rent"," Dattaraj Colony, , Rahatani Phata and Om Jewellers","30,000No Extra Maintenance",1.5 Lacs,"1,400 sqft 21.43 per Sq.Ft.",Godown/Warehouse,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Pimple Saudagar, Pune for Rent","Nashik Phata Road, near cream ston ice cream parlaor","50,000No Extra Maintenance",1.5 Lacs,"1,400 sqft 35.71 per Sq.Ft.",Godown/Warehouse,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Kiwale, Pune for Rent","Pimpri-Chinchwad,,  near Symbiosis Skills and Professional University","15,000No Extra Maintenance","15,000","2,940 sqft 5.10 per Sq.Ft.",Godown/Warehouse,PublicParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Chikhali, Pune for Rent","Pimpri chinchwad, Hindustan Petroleum Corporation Limited","50,000No Extra Maintenance",2 Lacs,"4,000 sqft 12.50 per Sq.Ft.",Godown/Warehouse,PublicParking,Semi furnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Tathawade, Pune for Rent","Pawar Wasti, Near RAGA BANQUIT Hall","42,000No Extra Maintenance",1.26 Lacs,"2,000 sqft 21.00 per Sq.Ft.",Godown/Warehouse,ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
"Godown/Warehouse in Marunji, Pune for Rent","Buchade Wasti, Marunji-Hinjewadi Rd, Laxmi Chowk, Hinjewadi","40,000No Extra Maintenance",1 Lac,"4,000 sqft 10.00 per Sq.Ft.",Godown/Warehouse,Public And ReservedParking,UnfurnishedFurnishing,ImmediatelyAvailable From
